sample	initial	primtrim	qltfilter	dadafwds	dadarevs	dadamerge	lenfilter	chimremove	pct_remain
001-N	19663	9044	123	24	45	23	23	23	0.1%
001-P	226280	222610	219478	219418	219391	211404	211404	199120	88.0%
002-S	202301	197163	192912	192688	192705	187270	187270	185033	91.5%
003-S	19353	10712	127	12	14	0	0	0	0.0%
004-S	211854	206894	204650	204534	204410	197097	197097	179049	84.5%
005-S	188575	185009	179533	179380	179311	176862	176862	174189	92.4%
006-S	200439	194785	190223	190129	190018	184357	184357	175017	87.3%
007-S	112705	109273	105974	105679	105504	102881	102881	98884	87.7%
008-S	188327	185570	182202	182114	182042	179254	179254	172725	91.7%
009-S	163478	159048	156371	156282	156196	153671	153671	144194	88.2%
010-S	237694	230432	226913	226801	226826	224758	224758	212964	89.6%
011-N	20154	10942	123	23	26	22	22	22	0.1%
011-S	135285	131225	127896	127773	127507	125374	125287	122281	90.4%
012-S	159076	148997	141480	141307	141284	138758	138709	135691	85.3%
014-S	200668	194574	190494	190368	189706	188026	188017	184867	92.1%
015-S	104172	91316	79489	79294	79214	77727	77727	77397	74.3%
016-S	169868	161830	155127	154876	154857	152179	152177	145635	85.7%
017-S	134946	126355	119659	119512	119357	117517	117447	117046	86.7%
018-S	67961	60076	53804	53586	53692	52694	52694	52460	77.2%
019-S	87923	76838	67993	67857	67898	65718	65718	65718	74.7%
020-S	152617	144528	136794	136695	136685	132209	132209	131687	86.3%
021-N	20797	8430	104	21	24	18	18	18	0.1%
021-P	102936	88508	78193	78075	78072	75606	75588	75588	73.4%
022-S	46	42	39	31	34	27	27	27	58.7%
023-S	123824	113925	107437	107313	106971	104720	104720	104664	84.5%
024-S	343088	337041	332285	331847	331572	327231	327231	324899	94.7%
025-S	223648	212297	203370	203287	203227	203178	203178	203178	90.8%
026-S	207340	204099	201487	201431	201282	198790	198761	190903	92.1%
027-S	55455	47678	41137	41048	41047	41022	40856	40856	73.7%
028-S	216689	210168	204483	204403	204365	204011	204011	203993	94.1%
029-S	206268	201079	197412	197354	197080	195292	195292	190368	92.3%
031-N	26759	13864	3577	3443	3439	3435	3435	3435	12.8%
031-S	328059	320288	315946	315852	315870	315385	315385	309772	94.4%
032-S	176617	173936	172030	171959	171858	170242	170242	164881	93.4%
033-S	279084	273881	270781	270577	270464	268653	268640	263004	94.2%
034-S	215927	212008	208570	208394	208202	204906	204906	195644	90.6%
035-S	304077	298078	294297	293916	293367	292428	292428	280782	92.3%
036-S	284839	280744	278431	278180	277962	272342	272052	265364	93.2%
037-S	312812	309518	308170	308026	307876	306061	306059	292136	93.4%
038-S	299886	295811	293641	293575	293575	292132	292132	288139	96.1%
039-S	157887	154881	153144	153038	153041	151590	151590	143604	91.0%
040-S	166294	162487	159858	159617	159106	156857	156840	154375	92.8%
041-N	17147	6397	242	156	188	154	154	154	0.9%
041-S	408990	404130	401085	401013	400985	398720	398717	383811	93.8%
042-S	546420	537028	529882	529717	529091	512514	512140	511824	93.7%
044-S	350515	347667	346237	346054	345166	342627	342627	332611	94.9%
045-S	396466	392167	390495	390275	390135	386019	386019	376421	94.9%
046-S	304370	301306	299567	299480	299401	294606	294602	275807	90.6%
047-S	392489	387650	384200	384118	384051	382591	382591	375780	95.7%
048-S	294874	291249	289593	289527	289400	287238	287238	282241	95.7%
049-S	399658	396424	395273	395169	395096	393306	393306	374564	93.7%
051-N	22208	9606	123	23	38	20	20	20	0.1%
051-S	351902	345674	342476	342391	342228	339099	339099	335924	95.5%
052-S	74778	67224	60424	60339	60327	59283	59279	56400	75.4%
053-S	74738	69086	62507	62416	62417	62085	62085	61328	82.1%
054-S	68758	58403	49303	49182	49181	48340	48340	48241	70.2%
055-S	109158	104534	99746	99667	99641	96662	96662	92532	84.8%
056-S	75489	69953	63452	63327	63283	62255	62255	60013	79.5%
057-S	50596	41009	33335	33239	33241	32404	32404	30448	60.2%
058-S	157373	152138	146049	145850	145747	144109	144109	139540	88.7%
059-S	19905	11171	2957	2847	2862	2843	2843	2843	14.3%
060-S	102492	94957	88232	88169	88169	87687	87687	86315	84.2%
061-N	15064	7102	102	18	27	8	8	8	0.1%
061-S	164336	157133	152096	152004	151940	150481	150481	145914	88.8%
062-S	303730	302163	299951	299688	299076	298449	298449	291750	96.1%
064-S	271781	269464	268175	267762	267405	265004	265004	261183	96.1%
065-S	264013	262611	260928	260552	259636	254281	254281	243049	92.1%
066-S	356820	354838	353134	352677	351947	344297	344297	334226	93.7%
067-S	304465	302826	301403	301178	300921	296671	296671	277597	91.2%
068-S	370220	367828	365386	364864	364347	356964	356964	306227	82.7%
069-S	346963	344620	342992	342509	342119	335900	335900	304858	87.9%
070-S	407706	404428	403246	402837	402417	397778	397778	242413	59.5%
072-S	471346	467359	463353	462685	462819	455516	455508	404591	85.8%
073-S	340526	336963	334687	334418	334321	326515	326515	311170	91.4%
074-S	217763	215898	214959	214662	214443	208173	208173	197222	90.6%
075-S	227224	225582	225302	225167	225230	222291	222291	214468	94.4%
076-S	273232	270401	268901	268734	268761	261809	261809	243964	89.3%
078-S	215690	214601	214047	213867	213787	210298	210298	197933	91.8%
079-S	322231	320140	319593	319537	319397	314966	314966	296489	92.0%
080-S	265510	263518	262425	262319	262178	258273	258273	244956	92.3%
081-N	16725	7836	388	338	340	337	337	337	2.0%
081-S	280217	277240	276391	276247	276189	272182	272182	260823	93.1%
082-S	300073	297020	295494	295453	295333	292765	292765	285641	95.2%
083-S	546394	543287	542384	542229	542022	536299	536299	530917	97.2%
PCR-NC-1	20391	9984	101	5	11	5	5	5	0.0%
PCR-NC-2	16172	6724	106	16	18	13	13	13	0.1%
PCR-NC-3	20080	10178	143	60	24	6	6	6	0.0%
PCR-NC-4	11293	3989	68	10	22	10	10	10	0.1%
Undetermined-2	2210905	1062544	959222	944462	924237	828420	828380	782884	35.4%
